cs,lat,long
arc,73.004093,274.973959
arv,61.097941,265.928533
cbb,69.101929,254.884829
chu,58.759279,265.913402
cor,64.188201,276.650145
eur,79.990089,274.097557
mcm,56.649535,248.779728
fsi,61.756554,238.771946
fsm,60.026095,248.067109
gil,56.3766,265.356197
gjo,68.63263,264.151719
gri,76.423281,277.096506
hal,68.767279,278.743539
iqa,63.737377,291.459735
kug,67.817781,244.865276
edm,53.350818,247.02616
pon,72.693166,282.044956
qik,67.559326,295.96634
rab,58.226935,256.322945
ran,62.8247,267.885291
rep,66.523589,273.768972
res,74.746627,264.997469
sac,71.99063,234.739381
san,56.53636,280.768771
tal,69.540923,266.443335

